Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
ASUS,AMD Ryzen AI Max+,Windows 11 Home,32,LPDDR5X,1 TB,14,"1,79,990","2,15,990",16,
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Apple,Apple M3,Mac OS,16,Unified Memory,256 GB,13.6,"90,590","1,14,900",21,4.6
Primebook,MediaTek MT8183,Android,4,LPDDR4,,11.6,"14,990","20,990",28,4.1
HP,Intel Core Ultra 7,Windows 11 Home,24,DDR5,1 TB,14,"84,990","88,415",3,
ASUS,Intel Core i5,Windows 11 Home,16,DDR4,512 GB,16,"66,990","89,990",25,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
ASUS,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"56,990","81,990",30,4.4
ASUS,Intel Core 5,Windows 11 Home,16,DDR4,512 GB,16,"68,990","95,990",28,4.2
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Acer,Intel Core i5,Windows 11 Home,12,LPDDR5,512 GB,15.6,"54,990","59,990",8,4.1
Apple,Apple M3,Mac OS,8,Unified Memory,256 GB,13,"99,990","1,14,900",12,4.6
Samsung,Intel Core i7,Windows 11,16,DDR4X,1 TB,13.3,"1,33,990","1,47,926",9,4.3
Apple,Apple M4 Pro,Mac OS,24,Unified Memory,1 TB,14,"2,26,990","2,39,900",5,
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
